Measurement_Number,Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600,Label
2,91,0.0381025482,0.0072477353,0.0112469655,0.0080598863,0.0195423464,0.0264391621,CO
2,92,0.0380910574,0.0072466855,0.0112303018,0.0080608697,0.019539989,0.0264589223,CO
2,93,0.0380703508,0.0072439513,0.0112152927,0.0080573548,0.0195385903,0.0264866073,CO
2,94,0.0380436513,0.007241335,0.0112078463,0.0080571863,0.0195405889,0.0264879878,CO
2,95,0.0380084541,0.0072308021,0.0111664717,0.0080576739,0.0195372079,0.0264919673,CO
2,96,0.0379871042,0.0068522952,0.0108700149,0.0080583648,0.0195313302,0.0265101432,CO
2,97,0.0379247083,0.0067091876,0.0107914169,0.0080530927,0.0193664324,0.0265226743,CO
2,98,0.0378289128,0.0066485412,0.0107956129,0.0080539347,0.0192813761,0.0265412535,CO
2,99,0.0377363801,0.0066187458,0.0108352089,0.0080879672,0.0192592651,0.0265535421,CO
2,100,0.0376726198,0.0065857621,0.0108889758,0.0081230081,0.019237343,0.0265578311,CO
2,101,0.0375863205,0.0065180379,0.0108918431,0.0081781945,0.0192096127,0.0265512794,CO
2,102,0.0374896052,0.0064448501,0.0108634227,0.0082266917,0.0191603196,0.0265315763,CO
2,103,0.0374043222,0.00634396,0.0107926849,0.0082485237,0.0191269426,0.0265070497,CO
2,104,0.0372918149,0.0062344906,0.0107123558,0.0082566888,0.0190788163,0.0264931571,CO
2,105,0.0372056774,0.0061055858,0.0105833589,0.0082472756,0.0190440073,0.0264753419,CO
2,106,0.0371325071,0.0059945411,0.0104690952,0.008227838,0.0190083155,0.0264546761,CO
2,107,0.0370632557,0.0058968316,0.0103402218,0.008210001,0.0189823327,0.0264143206,CO
2,108,0.0369796504,0.0058110137,0.0102248418,0.0082056701,0.0189639588,0.0263819484,CO
2,109,0.0369104919,0.005734546,0.0101054843,0.0081930854,0.0189440813,0.0263296038,CO
2,110,0.03684975,0.0056630585,0.009964094,0.0081805928,0.0189231105,0.0262893828,CO
2,111,0.0368080313,0.0056046268,0.0098467777,0.0081688691,0.0189070498,0.0262410784,CO
2,112,0.0367605207,0.0055436496,0.0097271728,0.0081432693,0.0188880852,0.0261980007,CO
2,113,0.036716456,0.0054803385,0.0096122496,0.0081304182,0.0188693878,0.026152975,CO
2,114,0.0366657159,0.005437504,0.0095081809,0.0081154923,0.018853577,0.0261149646,CO
2,115,0.0366232487,0.0053988626,0.0093971135,0.0081000151,0.0188463326,0.0260647355,CO
2,116,0.0365817164,0.0053692036,0.0093123587,0.0080891655,0.0188424772,0.0260285461,CO
2,117,0.0365455409,0.0053210121,0.0092295209,0.0080746522,0.0188374889,0.0259755292,CO
2,118,0.0364959525,0.0052831473,0.0091382301,0.0080569531,0.0188260386,0.0259292643,CO
2,119,0.0364455587,0.0052361301,0.0090278603,0.0080299459,0.0188090229,0.0258834839,CO
2,120,0.036401094,0.0051992475,0.008936966,0.0080150968,0.0187912428,0.0258388135,CO
2,121,0.0363547564,0.0051614635,0.0088507613,0.0079895993,0.0187773407,0.0258033756,CO
2,122,0.0363134903,0.0051296913,0.0087737571,0.0079764827,0.018760728,0.0257628311,CO
2,123,0.0362731203,0.0051024591,0.0086941271,0.0079539569,0.0187529416,0.0257231397,CO
2,124,0.0362424611,0.0050746824,0.0086048273,0.0079430022,0.0187362695,0.0256808209,CO
2,125,0.0362221351,0.0050626804,0.0085428378,0.0079314011,0.0187136144,0.0256305854,CO
2,126,0.0362013203,0.0050466811,0.0084861588,0.0079111202,0.0187082551,0.025576793,CO
2,127,0.036174687,0.0050418572,0.0084346641,0.0079004514,0.0186973165,0.025529444,CO
2,128,0.0361529082,0.0050291036,0.0083916881,0.0078906005,0.0186884997,0.0255016811,CO
2,129,0.0361441537,0.0050223885,0.0083370002,0.0078865283,0.0186830636,0.0254621539,CO
2,130,0.0361224798,0.0050226573,0.0082975621,0.0078847757,0.0186776445,0.0254383575,CO
2,131,0.0361151021,0.0050062198,0.008251634,0.0078728778,0.0186927624,0.0254065691,CO
2,132,0.0360991899,0.0049940284,0.0082045916,0.0078749927,0.0187066441,0.0253796061,CO
2,133,0.0360887935,0.0049782843,0.008166766,0.0078652709,0.0187205033,0.0253664565,CO
